Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/17/2020 at 11:18:35 pm EST,Crewmate,Loss,2,No,No,-,07m 01s,No,0,-,---,NA / SXJLBF
12/17/2020 at 11:06:03 pm EST,Crewmate,Loss,4,No,No,-,08m 49s,No,1,-,---,NA / SXJLBF
12/17/2020 at 10:56:12 pm EST,Crewmate,Win,7,Yes,Yes,-,13m 39s,No,0,06m 41s,++,NA / SXJLBF
12/17/2020 at 10:40:44 pm EST,Crewmate,Win,7,Yes,Yes,-,22m 36s,No,0,16m 06s,++,NA / SXJLBF
12/17/2020 at 10:10:44 pm EST,Crewmate,Loss,5,No,No,-,08m 49s,No,1,-,---,NA / SXJLBF
12/17/2020 at 9:59:30 pm EST,Crewmate,Win,7,Yes,No,-,15m 45s,No,0,08m 21s,++,NA / SXJLBF
12/17/2020 at 9:41:51 pm EST,Imposter,Loss,-,-,-,0,21m 33s,No,N/A,-,--,NA / SXJLBF
12/07/2020 at 3:42:01 am EST,Crewmate,Loss,5,No,Yes,-,26m 07s,No,2,-,---,NA / HUTXKF
12/07/2020 at 3:14:45 am EST,Crewmate,Loss,6,No,No,-,20m 28s,No,2,-,---,NA / HUTXKF
12/02/2020 at 10:20:41 pm EST,Crewmate,Win,4,No,Yes,-,16m 28s,No,0,-,++,NA / WLJHKF
12/02/2020 at 10:02:45 pm EST,Crewmate,Loss,6,No,Yes,-,12m 58s,No,0,-,---,NA / WLJHKF
12/02/2020 at 5:31:52 pm EST,Crewmate,Win,7,Yes,No,-,17m 48s,No,0,06m 23s,++,Europe / TQQYQQ
12/02/2020 at 5:12:50 pm EST,Crewmate,Win,7,Yes,No,-,12m 15s,No,2,06m 13s,++,Europe / TQQYQQ
12/02/2020 at 4:53:13 pm EST,Crewmate,Win,8,Yes,Yes,-,13m 32s,No,1,06m 26s,++,Europe / TQQYQQ
12/02/2020 at 4:34:54 pm EST,Crewmate,Win,8,Yes,Yes,-,14m 28s,No,1,14m 27s,++,Europe / TQQYQQ
12/02/2020 at 4:19:23 pm EST,Imposter,Win,-,-,-,2,15m 18s,No,N/A,-,+++,Europe / TQQYQQ
12/02/2020 at 4:02:11 pm EST,Crewmate,Loss,8,Yes,No,-,14m 00s,No,0,07m 13s,--,Europe / TQQYQQ
12/02/2020 at 1:14:17 am EST,Crewmate,Win,7,Yes,No,-,13m 57s,No,0,11m 30s,++,NA / CHHYKF
12/02/2020 at 12:54:57 am EST,Imposter,Loss,-,-,-,1,11m 45s,No,N/A,-,--,NA / KFTWCF
12/02/2020 at 12:42:19 am EST,Crewmate,Loss,8,Yes,No,-,09m 51s,No,2,09m 49s,--,NA / KFTWCF
12/01/2020 at 6:24:10 pm EST,Imposter,Loss,-,-,-,3,11m 25s,Yes,N/A,-,-,Europe / SADXGF
12/01/2020 at 6:06:37 pm EST,Crewmate,Win,7,Yes,No,-,16m 50s,No,2,02m 43s,++,Europe / SADXGF
12/01/2020 at 5:46:40 pm EST,Crewmate,Win,7,Yes,No,-,13m 56s,No,1,11m 48s,++,Europe / SADXGF
12/01/2020 at 5:31:16 pm EST,Imposter,Win,-,-,-,3,09m 16s,No,N/A,-,+++,Europe / SADXGF
12/01/2020 at 5:20:29 pm EST,Crewmate,Win,7,Yes,No,-,17m 05s,No,0,05m 49s,++,Europe / SADXGF
12/01/2020 at 4:59:51 pm EST,Crewmate,Win,7,Yes,Yes,-,17m 16s,No,0,10m 21s,++,Europe / SADXGF
11/28/2020 at 8:49:07 pm EST,Crewmate,Loss,8,Yes,Yes,-,23m 01s,No,1,12m 11s,--,NA / XYBZDF
11/28/2020 at 8:24:45 pm EST,Crewmate,Loss,5,No,No,-,08m 47s,No,0,-,---,NA / XYBZDF
11/28/2020 at 8:14:04 pm EST,Crewmate,Loss,6,No,No,-,08m 28s,No,0,-,---,NA / XYBZDF
11/28/2020 at 8:05:00 pm EST,Crewmate,Loss,7,No,No,-,13m 44s,No,1,-,---,NA / XYBZDF
11/28/2020 at 7:47:41 pm EST,Crewmate,Loss,2,No,Yes,-,07m 38s,No,0,-,---,NA / XYBZDF
11/28/2020 at 7:38:33 pm EST,Crewmate,Loss,6,No,No,-,05m 55s,No,1,-,---,NA / XYBZDF
11/28/2020 at 7:31:40 pm EST,Crewmate,Loss,7,No,Yes,-,08m 41s,No,1,-,---,NA / XYBZDF
11/28/2020 at 7:15:31 pm EST,Imposter,Win,-,-,-,3,05m 53s,No,N/A,-,+++,NA / XYBZDF
11/28/2020 at 4:46:03 am EST,Crewmate,Loss,7,Yes,Yes,-,10m 28s,No,0,09m 52s,--,Europe / AQJRHF
11/28/2020 at 4:34:07 am EST,Crewmate,Loss,7,Yes,Yes,-,12m 55s,No,1,08m 49s,--,Europe / AQJRHF
11/27/2020 at 2:40:50 am EST,Crewmate,Win,6,Yes,Yes,-,12m 29s,No,0,08m 52s,++,NA / GWDSGF
11/27/2020 at 2:27:50 am EST,Crewmate,Win,6,No,No,-,12m 52s,No,0,-,++,NA / GWDSGF
11/27/2020 at 2:14:06 am EST,Crewmate,Win,7,Yes,Yes,-,08m 54s,No,1,05m 56s,++,NA / GWDSGF
